Station,Type,line,Longitude,Latitude,Aliases
"Hagendorn, Rumentikon",bus station,642|643|N4,8.4361,47.2079,hagendornrumentikon|rumentikon
Halbinsel Au,station,3730,8.6487995,47.2505778,halbinselau
"Hallau, Atlingen",bus station,27|N77,8.4653,47.6976,atlingen|hallauatlingen
"Hallau, Brugg",bus station,27|N77,8.4575,47.6934,brugg|hallaubrugg
"Hallau, Gemeindehaus",bus station,27|N77,8.4593,47.6975,hallaugemeindehaus
"Hauptikon, Dorf",bus station,232|N24,8.4954505,47.2302003,hauptikondorf
"Hausen a.A., Albisbrunn",bus station,235|280|N24,8.5395639,47.2387917,albisbrunn|hausenaaalbisbrunn
"Hausen a.A., Bifang",bus station,235|280|N24,8.535302,47.2409373,hausenaabifang
"Hausen a.A., Heisch",bus station,235|236|240|N24,8.5301915,47.2487579,hausenaaheisch|heisch
"Hausen a.A., Post",bus station,223|235|236|240|280|N24,8.5328754,47.2449903,hausenaapost
"Hausen a.A., Riedmatt",bus station,235|236|240|N24,8.5173557,47.2627407,hausenaariedmatt
"Hausen a.A., Tüfenbach",bus station,235|236|240|N24,8.5220258,47.2591077,hausenaatufenbach|tufenbach
"Hausen a.A., Türlersee",bus station,236,8.5126282,47.2674984,hausenaaturlersee|turlersee
"Hausen a.A., Vollenweid",bus station,235|N24,8.5103168,47.2596579,hausenaavollenweid|vollenweid
"Hausen a.A., Weisbrod-Areal",bus station,223,8.5291495,47.244306,hausenaaweisbrodareal|weisbrod areal|weisbrodareal
Hedingen,train station,S5|S14|SN5,8.4456654,47.2989564,
"Hedingen, Güpf",bus station,200|EV1,8.4486995,47.300675,gupf|hedingengupf
"Hedingen, Hausacker",bus station,200,8.4491848,47.2948778,hausacker|hedingenhausacker
"Hedingen, Zwillikerstrasse",station,,8.4469157,47.297947,hedingen zwillikerstr|hedingenzwillikerstrasse|zwillikerstr|zwillikerstrasse
Heinrüti,station,,8.3533705,47.3630229,
"Hemishofen, Dorf",bus station,25|33,8.8312,47.6781,hemishofendorf
Henggart,train station,S12|S24|S33|SN3,8.6851451,47.5642788,
"Henggart, Bahnhof",bus station,675|676|EV1|EV4,8.6849894,47.5638757,henggartbahnhof
Herblingen,train station,S|S24|S62,8.6643,47.7172,
"Herblingen, Bahnhof",bus station,9,8.6636,47.7168,herblingenbahnhof
"Herdern, Dorf",bus station,823|825,8.91,47.605,herderndorf
"Hermetschwil, alte Post",bus station,339,8.346,47.331,hermetschwilaltepost
"Hermetschwil, Kloster",bus station,339,8.3431,47.3332,hermetschwilkloster
Herrliberg (See),station,3730,8.6095533,47.2833402,herrlibergsee
"Herrliberg, Alterssiedlung",bus station,972,8.6150683,47.2870532,alterssiedlung|herrlibergalterssiedlung
"Herrliberg, Aryanastrasse",bus station,973,8.6185626,47.2884388,aryanastr|aryanastrasse|herrliberg aryanastr|herrlibergaryanastrasse
"Herrliberg, Bergstrasse",bus station,962,8.6143435,47.2943649,herrliberg bergstr|herrlibergbergstrasse
"Herrliberg, Busenhardstrasse",bus station,973,8.6106703,47.2908671,busenhardstr|busenhardstrasse|herrliberg busenhardstr|herrlibergbusenhardstrasse
"Herrliberg, Forchstrasse",bus station,973,8.6212936,47.2869895,forchstr|forchstrasse|herrliberg forchstr|herrlibergforchstrasse
"Herrliberg, Freudacherstrasse",bus station,962,8.6132961,47.2954371,freudacherstr|freudacherstrasse|herrliberg freudacherstr|herrlibergfreudacherstrasse
"Herrliberg, Gartenstrasse",bus station,973|974,8.6125946,47.2857831,herrliberg gartenstr|herrliberggartenstrasse
"Herrliberg, Grundhofstrasse",bus station,972,8.6177449,47.2861353,grundhofstr|grundhofstrasse|herrliberg grundhofstr|herrliberggrundhofstrasse
"Herrliberg, Grüt",bus station,972,8.6058561,47.2901873,herrliberggrut
"Herrliberg, Harzerstrasse",bus station,973|974,8.618035,47.2866991,harzerstr|harzerstrasse|herrliberg harzerstr|herrlibergharzerstrasse
"Herrliberg, Holzwies",bus station,962|973,8.6083197,47.2934097,herrlibergholzwies|holzwies
"Herrliberg, Humrigen",bus station,972,8.6200323,47.2843578,herrliberghumrigen|humrigen
"Herrliberg, Kirche Wetzwil",bus station,974,8.6254595,47.2965719,herrlibergkirchewetzwil|kirche wetzwil|kirchewetzwil
"Herrliberg, Oberdorfweg",bus station,973,8.6165074,47.2869666,herrlibergoberdorfweg|oberdorfweg
"Herrliberg, Pfarrgasse",bus station,972,8.608908,47.2870709,herrlibergpfarrgasse|pfarrgasse
"Herrliberg, Rain",bus station,973,8.6071046,47.2928643,herrlibergrain
"Herrliberg, Rebberg",bus station,973,8.6147362,47.2887837,herrlibergrebberg
"Herrliberg, Rietli",bus station,974,8.6255454,47.2867569,herrlibergrietli
"Herrliberg, Schulhaus",bus station,972,8.6133819,47.2885187,herrlibergschulhaus
"Herrliberg, Sportplatz",bus station,973,8.6117947,47.2926997,herrliberg sportplz|herrlibergsportplatz
"Herrliberg, Tennisplätze",bus station,973,8.615771,47.2907432,herrlibergtennisplatze|tennisplatze
"Herrliberg, Vogtei",bus station,972,8.609745,47.2896711,herrlibergvogtei|vogtei
"Herrliberg, Wetzwil",bus station,974,8.6303285,47.2949295,herrlibergwetzwil|wetzwil
Herrliberg-Feldmeilen,train station,S6|S16|SN7,8.612853,47.2819034,herrlibergfeldmeilen
"Herrliberg-Feldmeilen, Bahnhof",bus station,921|972|974,8.6127878,47.2813463,herrlibergfeldmeilenbahnhof
"Herrliberg-Feldmeilen, Bhf Ost",bus station,921|972,8.6120265,47.2827933,bhf ost|bhfost|herrlibergfeldmeilenbhfost
"Herrliberg-Feldmeilen,Bhf West",bus station,921|972|973|974,8.6114552,47.2826642,bhf west|bhfwest|herrlibergfeldmeilenbhfwest
Hettlingen,train station,S12|S33|SN3,8.6947716,47.5453846,
"Hettlingen, Bahnhof",bus station,671|677|EV1|EV4,8.6950516,47.5454265,hettlingenbahnhof
"Hettlingen, Dorf",bus station,671|676|677|679|N58,8.709166,47.5467838,hettlingendorf
"Hettlingen, Föhrenstrasse",bus station,671|676|677|679|N58,8.7141173,47.5488252,hettlingen fohrenstr|hettlingenfohrenstrasse
"Hettlingen, Gemeindehaus",bus station,671|677|EV1,8.7040975,47.5453821,hettlingengemeindehaus
"Hilfikon, Dorf",bus station,340|N32,8.2465621,47.3332909,hilfikondorf
"Hilfikon, Sandbüel",bus station,340|N32,8.2455974,47.3289981,hilfikonsandbuel
Hinteregg,train station,18|S18|SN18,8.6843564,47.305747,
"Hinteregg, Station",bus station,18|EV,8.6840548,47.3058582,
Hinwil,train station,EXT|S3|S14,8.8396289,47.2999623,
"Hinwil, Alpenblick",station,871,8.8444854,47.3056066,hinwilalpenblick
"Hinwil, Bahnhof",bus station,869|870|871|875|N88|N89,8.8404749,47.2994482,hinwilbahnhof
"Hinwil, Bossikon",bus station,869,8.8134256,47.3089586,bossikon|hinwilbossikon
"Hinwil, Dorf",bus station,869|N88|N89,8.8429623,47.3025125,hinwildorf
"Hinwil, Friedhof",bus station,875,8.8494871,47.3006967,hinwilfriedhof
"Hinwil, Girenbad",bus station,871|875,8.8718483,47.3095159,hinwilgirenbad
"Hinwil, Gstalden",bus station,870|871|875|N88,8.8436662,47.3006148,gstalden|hinwilgstalden
"Hinwil, Hadlikon",bus station,870|871|N88,8.856648,47.287007,hadlikon|hinwilhadlikon
"Hinwil, Hinwil Center Ost",bus station,869,8.8201055,47.3054064,hinwil center ost|hinwilcenterost|hinwilhinwilcenterost
"Hinwil, Hinwil Center West",bus station,869,8.8172115,47.3065205,hinwil center west|hinwilcenterwest|hinwilhinwilcenterwest
"Hinwil, Industriestrasse",bus station,869,8.8284515,47.3039118,hinwil industriestr|hinwilindustriestrasse
"Hinwil, Kreuzplatz",bus station,869,8.8332746,47.3037546,hinwil kreuzplz|hinwilkreuzplatz
"Hinwil, Langmatt",bus station,871|875,8.8703201,47.3072769,hinwillangmatt|langmatt
"Hinwil, Ringwil",bus station,871|875,8.8554684,47.3147919,hinwilringwil|ringwil
"Hinwil, Sportplatz",bus station,870|871|N88,8.8492846,47.2970378,hinwil sportplz|hinwilsportplatz
"Hinwil, Unterdorf",bus station,869,8.8366414,47.3035429,hinwilunterdorf
"Hinwil, Wässeristrasse",bus station,869,8.8241678,47.3044671,hinwil wasseristr|hinwilwasseristrasse|wasseristr|wasseristrasse
"Hinwil, Zelgacher",bus station,870|871|N88,8.8550118,47.2891232,hinwilzelgacher|zelgacher
"Hinwil, Zürichstrasse",bus station,869,8.8197976,47.3067954,hinwil zurichstr|hinwilzurichstrasse
"Hirzel, Kirche",bus station,150|E|N26,8.6063866,47.217129,hirzelkirche
"Hirzel, Neuhaus",bus station,150|E|N26,8.5990777,47.2319826,hirzelneuhaus|neuhaus
"Hirzel, Spitzen",bus station,150|155|E|N26,8.6191086,47.2108912,hirzelspitzen|spitzen
"Hirzel, Strickler",bus station,150|E|N26,8.6008653,47.2297697,hirzelstrickler|strickler
"Hirzel, Vorderi Siten",bus station,155|N26,8.6112022,47.215164,hirzelvorderisiten|vorderi siten|vorderisiten
"Hirzel, Wolfisbühl",bus station,150|E|N26,8.6044358,47.2251458,hirzelwolfisbuhl|wolfisbuhl
"Hirzel, Wässeri",bus station,150|E|N26,8.6092899,47.21405,hirzelwasseri|wasseri
"Hittnau, Furt",bus station,837|N72,8.8111976,47.3606566,furt|hittnaufurt
"Hittnau, Hasel/Schönau",bus station,835|837|N72|N82,8.8321512,47.3797463,hasel schonau|haselschonau|hittnauhaselschonau
"Hittnau, Hofhalden",bus station,858,8.8189215,47.347062,hittnauhofhalden|hofhalden
"Hittnau, Industrie",bus station,835|837|N82,8.821893,47.3682383,hittnauindustrie
"Hittnau, Isikon",bus station,858|N72,8.8138109,47.3767637,hittnauisikon|isikon
"Hittnau, Luppmen",bus station,837|858,8.8301662,47.3635781,hittnauluppmen|luppmen
"Hittnau, Oberdorf",bus station,837|858,8.8266376,47.366877,hittnauoberdorf
"Hittnau, Oberhittnau",bus station,837|858|N72,8.8228547,47.3609133,hittnauoberhittnau|oberhittnau
"Hittnau, Sonne",bus station,837|858|N72,8.8234005,47.36867,hittnausonne
"Hochfelden, Grabenstrasse",bus station,515|535|N53,8.5132113,47.5237435,grabenstr|grabenstrasse|hochfelden grabenstr|hochfeldengrabenstrasse
"Hochfelden, Martinsmühle",bus station,515|535|N53,8.5174893,47.5232,hochfeldenmartinsmuhle|martinsmuhle
"Hofstetten ZH, Dorf",bus station,680|682,8.8541508,47.4730237,hofstettenzhdorf
"Hohentengen, Abz Bergöschingen",bus station,7340,8.4028,47.5795,abz bergoschingen|abzbergoschingen|hohentengenabzbergoschingen
"Hohentengen, Engelhof",bus station,7340,8.4096,47.5752,engelhof|hohentengenengelhof
"Hohentengen, Gewerbegebiet",bus station,7340,8.4415,47.5721,hohentengengewerbegebiet
"Hohentengen, GMS",bus station,7340,8.4307,47.5705,hohentengengms
"Hohentengen, Guggenmühle",bus station,7340,8.4013,47.5796,guggenmuhle|hohentengenguggenmuhle
"Hohentengen, Herdern",bus station,7340,8.4552,47.5748,herdern|hohentengenherdern
"Hohentengen, Kath. Pfarramt",bus station,7340,8.4333,47.569,hohentengenkathpfarramt|kath pfarramt|kathpfarramt
"Hohentengen, Kh. Boller",bus station,7340,8.4345,47.571,hohentengenkhboller|kh boller|khboller
"Hohentengen, Klausen",bus station,7340,8.4263,47.5693,hohentengenklausen|klausen
"Hohentengen, Löwen",bus station,7340,8.4355,47.5706,hohentengenlowen
"Hohentengen, Stetten",bus station,7340,8.4394,47.5902,hohentengenstetten|stetten
"Hohentengen, Stetten Schule",bus station,7340,8.4421,47.59,hohentengenstettenschule|stetten schule|stettenschule
"Hombrechtikon, Dörfli",bus station,880,8.7639362,47.2510382,hombrechtikondorfli
"Hombrechtikon, Eichberg",bus station,880|970,8.7728356,47.2492353,hombrechtikoneichberg
"Hombrechtikon, Eichtal",bus station,880|970,8.7779143,47.2494553,eichtal|hombrechtikoneichtal
"Hombrechtikon, Garstlig",bus station,880|970|N95,8.779258,47.2456164,garstlig|hombrechtikongarstlig
"Hombrechtikon, Grossacher",bus station,970,8.77978,47.2500993,hombrechtikongrossacher
"Hombrechtikon, Grüt",bus station,955,8.763715,47.2437181,hombrechtikongrut
"Hombrechtikon, Hofacherstrasse",bus station,880|970|N95,8.7753216,47.2461569,hofacherstr|hofacherstrasse|hombrechtikon hofacherstr|hombrechtikonhofacherstrasse
"Hombrechtikon, Holflüe",bus station,880|955|970|N95,8.7684092,47.2492145,holflue|hombrechtikonholflue
"Hombrechtikon, Krone",bus station,880|955|N95,8.7663938,47.2510459,hombrechtikonkrone
"Hombrechtikon, Niderfeld",bus station,880,8.7589678,47.2494041,hombrechtikonniderfeld
"Hombrechtikon, Plattenhof",bus station,880|955|970|N86|N95,8.7756462,47.2533228,hombrechtikonplattenhof
"Hombrechtikon, Post",bus station,880|955|970|N86|N95,8.7698351,47.2523556,hombrechtikonpost
"Hombrechtikon, Tobel",bus station,880|955|970|N86|N95,8.7803712,47.2536457,hombrechtikontobel
"Hombrechtikon, Wisental",bus station,880,8.7549038,47.2490727,hombrechtikonwisental
Horgen,train station,RE|RE25|S|S2|S8|SN8,8.5969742,47.2616712,
Horgen (See),station,3730,8.59769,47.2623836,horgensee
Horgen Autoquai,station,3735,8.6045,47.2592,horgenautoquai
Horgen Oberdorf,train station,RE|S23|S24,8.5897588,47.258577,horgenoberdorf
"Horgen Oberdorf, Bahnhof",bus station,131|137|EV1|EV2,8.5893251,47.259301,horgenoberdorfbahnhof
"Horgen, Aamüli",bus station,131,8.6231631,47.2294346,aamuli|horgenaamuli
"Horgen, Altes Gemeindehaus",bus station,131|133|145|150|155|E|N25,8.5960373,47.2605112,altes gemeindehaus|altesgemeindehaus|horgenaltesgemeindehaus
"Horgen, Bahnhof",bus station,121|131|132|133|134|136|137|145|150|155|E|N25|N26,8.5956648,47.2616124,horgenbahnhof
"Horgen, Baumgärtlihof",bus station,132|134|155|N26,8.5997043,47.258999,baumgartlihof|horgenbaumgartlihof
"Horgen, Bergli",bus station,131|150|155|E,8.5931614,47.2576704,horgenbergli
"Horgen, Bergwerk",bus station,121|134|N26,8.6122784,47.2551655,bergwerk|horgenbergwerk
"Horgen, Bocken",bus station,131|132|155|N26,8.6104339,47.2445605,bocken|horgenbocken
"Horgen, Dorfgasse",bus station,121|132|134|155|N26,8.5990148,47.2601034,dorfgasse|horgendorfgasse
"Horgen, Ebnetstrasse",bus station,150|155|E,8.5967279,47.2527501,ebnetstr|ebnetstrasse|horgen ebnetstr|horgenebnetstrasse
"Horgen, Enderholz",bus station,155|N26,8.6105933,47.2259289,enderholz|horgenenderholz
"Horgen, Fischenrüti",bus station,137|150|155|E,8.5989918,47.2487063,fischenruti|horgenfischenruti
"Horgen, Fähre",station,,8.6046379,47.2592281,horgenfahre
"Horgen, Gehren",bus station,131|N26,8.6016234,47.2518642,horgengehren
"Horgen, Glärnischhof",bus station,134|E|N26,8.6094913,47.2545911,glarnischhof|horgenglarnischhof
"Horgen, Gumelenstrasse",bus station,131|133|145|150|155|N25,8.5920812,47.2608837,gumelenstr|gumelenstrasse|horgen gumelenstr|horgengumelenstrasse
"Horgen, Hanegg",bus station,155|N26,8.612188,47.2312021,hanegg|horgenhanegg
"Horgen, Heubach",bus station,131|N26,8.5980516,47.2546888,heubach|horgenheubach
"Horgen, Hüttenstrasse",bus station,131|155|N26,8.6169672,47.2389166,horgen huttenstr|horgenhuttenstrasse|huttenstr|huttenstrasse
"Horgen, Käpfnach",bus station,121|134|E,8.61587,47.2544632,horgenkapfnach|kapfnach
"Horgen, Meilibach",bus station,121,8.6261588,47.2513351,horgenmeilibach|meilibach
"Horgen, Panorama",bus station,133,8.5867682,47.258373,horgenpanorama|panorama
"Horgen, Plattenhof",bus station,136,8.588214,47.2653841,horgenplattenhof
"Horgen, Reithy",bus station,132|155|N26,8.6082207,47.2502682,horgenreithy|reithy
"Horgen, Rietli",bus station,121,8.6194118,47.2533115,horgenrietli
"Horgen, Risi/Dow",bus station,121|134|E,8.6178808,47.2509883,horgenrisidow|risi dow|risidow
"Horgen, Rotweg",bus station,121|134|N26,8.6084157,47.256761,horgenrotweg|rotweg
"Horgen, Scheller",bus station,136,8.5869207,47.2691571,horgenscheller|scheller
"Horgen, Schinzenhof",bus station,121|132|134|N26,8.5971892,47.2606165,horgenschinzenhof|schinzenhof
"Horgen, Schnegg",bus station,131|132|155|N26,8.6053281,47.2484804,horgenschnegg|schnegg
"Horgen, Schärbächli/Fähre",bus station,121|134|N26,8.6026942,47.2591668,horgenscharbachlifahre|scharbachli fahre|scharbachlifahre
"Horgen, Spital",bus station,121|136,8.5892036,47.2634762,horgenspital
"Horgen, Stocker",bus station,131|133|145|150|155|E|N25,8.5890413,47.2614628,horgenstocker|stocker
"Horgen, Säntisstrasse",bus station,131|145|N25,8.5861845,47.2644148,horgen santisstr|horgensantisstrasse
"Horgen, Teufenbach",bus station,134|E,8.6052064,47.2562178,horgenteufenbach|teufenbach
"Horgen, untere Mühle",bus station,132|134|155|E,8.5981354,47.2591588,horgenunteremuhle|untere muhle|unteremuhle
"Horgen, Waidli",bus station,132|155|N26,8.6055847,47.254181,horgenwaidli|waidli
"Horgen, Waldegg",bus station,131|132|155,8.6083464,47.2451484,horgenwaldegg
"Horgen, Waldhof",bus station,131,8.6203754,47.2329625,horgenwaldhof|waldhof
"Horgen, Wannenthal",bus station,134|E,8.6022286,47.2565987,horgenwannenthal|wannenthal
"Horgen, Wannerstrasse",bus station,121|136,8.5909761,47.2629457,horgen wannerstr|horgenwannerstrasse|wannerstr|wannerstrasse
"Horgen, Widmerheim",bus station,131|145|N25,8.5844473,47.2672117,horgenwidmerheim|widmerheim
"Horgen, Zentrum Tödi",bus station,133,8.584636,47.2618395,horgenzentrumtodi|zentrum todi|zentrumtodi
"Horgenbach, Hauptstrasse",bus station,822,8.8447,47.5691,horgenbach hauptstr|horgenbachhauptstrasse
"Horgenberg, Hinterklausen",bus station,150|E|N26,8.5937194,47.243146,hinterklausen|horgenberghinterklausen
"Horgenberg, Moorschwand",bus station,137|150|E|N26,8.5865408,47.2527081,horgenbergmoorschwand|moorschwand
"Horgenberg, Nordecke",bus station,137,8.5781589,47.2598797,horgenbergnordecke|nordecke
"Horgenberg, Vorderklausen",bus station,150|E|N26,8.5967443,47.2407049,horgenbergvorderklausen|vorderklausen
"Horgenberg, Widenbach",bus station,150|E|N26,8.5979661,47.2343147,horgenbergwidenbach|widenbach
"Horgenberg, Wührenbach",bus station,150|E|N26,8.5890555,47.2467819,horgenbergwuhrenbach|wuhrenbach
"Horheim, Gewerbepark",bus station,7338,8.3515,47.6465,gewerbepark|horheimgewerbepark
"Horheim, Horheim",bus station,7338,8.3496,47.6486,horheim|horheimhorheim
"Humlikon, Dorfplatz",bus station,675|677|N64,8.670257,47.5761491,humlikon dorfplz|humlikondorfplatz
Hurden,train station,S40|SN5|SN8,8.8006506,47.2141944,
"Hurden, Seedammstrasse",bus station,EV4,8.7997,47.2135,hurden seedammstr|hurdenseedammstrasse|seedammstr|seedammstrasse
"Häuslenen, Moos",bus station,834,8.9043,47.5298,hauslenenmoos
"Häuslenen, Zentrum",bus station,834,8.9034,47.5269,hauslenenzentrum
"Höri, Fuhrstrasse",bus station,525|E|N54,8.5153536,47.5095389,fuhrstr|fuhrstrasse|hori fuhrstr|horifuhrstrasse
"Höri, Gemeindehaus",bus station,525|E|N54,8.5102021,47.5081925,horigemeindehaus
"Höri, Oberhöri",bus station,525|E|N54,8.5004143,47.5040012,horioberhori|oberhori
Hünikon (Neftenbach),bus station,677|N64,8.6683313,47.5521175,hunikonneftenbach
"Hünikon (Neftenbach), Vontobel",bus station,677|N64,8.6567797,47.553031,hunikonneftenbachvontobel|vontobel
"Hüntwangen, Dorf",bus station,545|N53,8.4926979,47.5948537,huntwangendorf
Hüntwangen-Wil,train station,S|S9|S65|SN65,8.5129375,47.5811493,huntwangenwil
"Hüntwangen-Wil, Bahnhof",bus station,542|543|545|546|EV1|EV5,8.5133533,47.5813344,huntwangenwilbahnhof
"Hütten, Friedhof",bus station,150|160|E|N28,8.6609769,47.1759375,huttenfriedhof
"Hütten, Schulhaus",bus station,150|160|E|N28,8.66607,47.1753885,huttenschulhaus
"Hütten, Schöntal",bus station,150|160|E|N28,8.6699179,47.1763459,huttenschontal
"Hütten, Segel",bus station,150|160|E|N28,8.6554067,47.1816189,huttensegel|segel
Hüttikon,bus station,491|N45,8.3867136,47.4461271,
"Hüttwilen, Hörnliwald",bus station,825,8.8839,47.6155,hornliwald|huttwilenhornliwald
"Hüttwilen, Kalchrain",bus station,825,8.8891,47.6122,huttwilenkalchrain|kalchrain
"Hüttwilen, Neumühle",bus station,823,8.8828,47.5992,huttwilenneumuhle|neumuhle
"Hüttwilen, Oberdorf",bus station,823,8.8718,47.6092,huttwilenoberdorf
"Hüttwilen, Stutheien",bus station,823,8.8529,47.6133,huttwilenstutheien|stutheien
"Hüttwilen, Zentrum",bus station,823,8.8696,47.6079,huttwilenzentrum
"Ifwil b. B., Aadorferstrasse",bus station,736,8.9388,47.4657,aadorferstr|aadorferstrasse|ifwil b b aadorferstr|ifwilbbaadorferstrasse
"Ifwil b. B., Ausserdorf",bus station,736,8.9371,47.4646,ifwilbbausserdorf
Illnau,train station,S3|S19|SN8,8.722573,47.4089111,
"Illnau, Bahnhof",bus station,640|652|EV4|N62,8.7229615,47.408538,illnaubahnhof
"Illnau, Chrummenacher",bus station,652,8.7191764,47.4054226,chrummenacher|illnauchrummenacher
"Illnau, Dorfplatz",bus station,640|N62,8.7239295,47.4074658,illnau dorfplz|illnaudorfplatz
"Illnau, Gemeindehaus",bus station,N62,8.7192308,47.4148492,illnaugemeindehaus
"Illnau, Horben",bus station,640|N62,8.7448716,47.413123,horben|illnauhorben
"Illnau, Kirche",bus station,652,8.7173117,47.4144026,illnaukirche
"Illnau, Löwen",bus station,652,8.7174244,47.4163354,illnaulowen
"Illnau, Steinacher",bus station,652,8.7137512,47.4118153,illnausteinacher
"Illnau, Weisslingerstrasse",bus station,640|N62,8.7270679,47.4079346,illnau weisslingerstr|illnauweisslingerstrasse|weisslingerstr|weisslingerstrasse
"Illnau, Wingert",bus station,652,8.7124755,47.4105611,illnauwingert|wingert
Insel Ufenau,station,3730|3736,8.7766137,47.2181016,inselufenau
"Iselisberg, Abzweigung",bus station,822,8.8389,47.5882,iselisbergabzweigung
Islikon,train station,S|S24|S30|SN14|SN30,8.8467788,47.5478646,
"Islikon, Bahnhof",bus station,836|EV1|EV4,8.8462,47.5476,islikonbahnhof
"Islikon, Zentrum",bus station,836,8.8418,47.5454,islikonzentrum
"Islisberg, Dorf",bus station,205,8.4388301,47.323006,islisbergdorf
"Islisberg, Räbacher",bus station,205,8.4353655,47.3216597,islisbergrabacher|rabacher
"Itaslen, Alte Landstrasse",bus station,806,8.9427923,47.4388552,itaslen alte landstr|itaslenaltelandstrasse
"Itschnach, Dorf",bus station,912|919|N91,8.6023128,47.327788,itschnachdorf
"Itschnach, Fallacher",bus station,912|919|N91,8.6060841,47.3290272,fallacher|itschnachfallacher
"Itschnach, Rebweg",bus station,912|919|N91,8.5980927,47.3265891,itschnachrebweg|rebweg
"Itschnach, Tägermoos",bus station,912|919|N91,8.5940154,47.3258654,itschnachtagermoos|tagermoos
Jakobstal,train station,S15,8.9441,47.5083,
Jestetten,train station,IC|RE|RE48|S|S9|S65|SN65,8.5740432,47.6542946,
"Jestetten, Bahnhof",bus station,7347|EV1|EV2|EV5,8.5740204,47.6544747,jestettenbahnhof
"Jestetten, Hauptschule",bus station,7347,8.5726,47.6517,hauptschule|jestettenhauptschule
"Jestetten, Osterfingerstrasse",bus station,7347,8.5451,47.6371,jestetten osterfingerstr|jestettenosterfingerstrasse|osterfingerstr|osterfingerstrasse
"Jestetten, Rathaus",bus station,7347,8.5682,47.6502,jestettenrathaus
"Jestetten, Realschule",bus station,7347,8.5676,47.6526,jestettenrealschule
"Jestetten, Säge",bus station,7347,8.5625,47.6468,jestettensage
"Jestetten, Zollamt Hardt",bus station,7347,8.5947,47.6662,jestettenzollamthardt|zollamt hardt|zollamthardt
"Jestetten, Zollamt Wangental",bus station,7347,8.5324,47.6455,jestettenzollamtwangental|zollamt wangental|zollamtwangental
Jona,train station,S|S5|S14|S15|SN5,8.8344953,47.2300899,
"Jona, Allmeindstrasse",bus station,994,8.8369478,47.2314546,allmeindstr|allmeindstrasse|jona allmeindstr|jonaallmeindstrasse
"Jona, Altersheim Meienberg",bus station,993,8.8273137,47.2342699,altersheim meienberg|altersheimmeienberg|jonaaltersheimmeienberg
"Jona, Aubrigstrasse",bus station,993,8.8386333,47.2337821,jona aubrigstr|jonaaubrigstrasse
"Jona, Bahnhof",bus station,991|992|994|995|996,8.8348626,47.2299955,jonabahnhof
"Jona, Bollwies",bus station,622|623|992|995|996,8.8424484,47.2296874,bollwies|jonabollwies
"Jona, Buech Industrie",bus station,995,8.866032,47.2255922,buech industrie|buechindustrie|jonabuechindustrie
"Jona, Buechstrasse Ost",bus station,995,8.8683,47.2275,buechstr ost|buechstrasse ost|buechstrasseost|jona buechstr ost|jonabuechstrasseost
"Jona, Buechstrasse West",bus station,995,8.8645,47.2246,buechstr west|buechstrasse west|buechstrassewest|jona buechstr west|jonabuechstrassewest
"Jona, Busskirchstrasse",bus station,991|992|996,8.8335119,47.2222663,busskirchstr|busskirchstrasse|jona busskirchstr|jonabusskirchstrasse
"Jona, Erlen",bus station,622|623|995,8.852,47.2303,jonaerlen
"Jona, Feldli",bus station,622|623|995,8.8460377,47.2300754,feldli|jonafeldli
"Jona, Feldlistrasse",bus station,992|996,8.8462992,47.2289747,feldlistr|feldlistrasse|jona feldlistr|jonafeldlistrasse
"Jona, Fluhstrasse",bus station,885|994,8.8193375,47.2363629,fluhstr|fluhstrasse|jona fluhstr|jonafluhstrasse
"Jona, Geberit",bus station,991|992|996|EV1|EV2,8.8433263,47.2248998,geberit|jonageberit
"Jona, Grünfeld",bus station,991|992|996,8.8422154,47.2223225,grunfeld|jonagrunfeld
"Jona, Grüt",bus station,994,8.8383164,47.2352972,jonagrut
"Jona, Hummelberg",bus station,995,8.8572144,47.2322053,hummelberg|jonahummelberg
"Jona, Hummelwaldstrasse",bus station,995,8.8520857,47.2310449,hummelwaldstr|hummelwaldstrasse|jona hummelwaldstr|jonahummelwaldstrasse
"Jona, Jona-Center",bus station,622|623|995,8.8482315,47.2301295,jona center|jonacenter|jonajonacenter
"Jona, Kindergarten Hummelberg",bus station,995,8.8544206,47.231439,jonakindergartenhummelberg|kindergarten hummelberg|kindergartenhummelberg
"Jona, Kreuz",bus station,622|623|EV1,8.836367,47.2299503,jonakreuz
"Jona, Kreuzackerstrasse",bus station,994,8.8264342,47.2395612,jona kreuzackerstr|jonakreuzackerstrasse
"Jona, Langrütistrasse",bus station,992|996,8.845059,47.2270107,jona langrutistr|jonalangrutistrasse|langrutistr|langrutistrasse
"Jona, Lenggiserstrasse",bus station,994,8.8234747,47.2400466,jona lenggiserstr|jonalenggiserstrasse|lenggiserstr|lenggiserstrasse
"Jona, Lenggisrain",bus station,994,8.8197775,47.2406128,jonalenggisrain|lenggisrain
"Jona, Molkereistrasse",bus station,991|992|995|996,8.8370952,47.2305262,jona molkereistr|jonamolkereistrasse|molkereistr|molkereistrasse
"Jona, Neuhof",bus station,993,8.8379227,47.2318655,jonaneuhof|neuhof
"Jona, Raineggstrasse",bus station,993,8.840652,47.2342073,jona raineggstr|jonaraineggstrasse|raineggstr|raineggstrasse
"Jona, Rankstrasse",bus station,993,8.8431464,47.2346357,jona rankstr|jonarankstrasse
"Jona, Schachen",bus station,991|996,8.8383307,47.2277764,jonaschachen|schachen
