Station,Type,line,Longitude,Latitude,Aliases
"Stäfa, Phonak",bus station,951|955|N95,8.7437515,47.2392592,phonak|stafaphonak
"Stäfa, Rain",bus station,950,8.7196384,47.2450263,stafarain
"Stäfa, Schützenhaus Wanne",bus station,950,8.7207037,47.2547389,schutzenhaus wanne|schutzenhauswanne|stafaschutzenhauswanne
"Stäfa, Strandbad",bus station,925,8.7139415,47.2410144,stafastrandbad
"Stäfa, Tränkebachstrasse",bus station,951|955,8.7269944,47.2422005,stafa trankebachstr|stafatrankebachstrasse|trankebachstr|trankebachstrasse
"Stäfa, Uelikon",bus station,N92,8.7183776,47.2491964,stafauelikon|uelikon
"Stäfa, Wiesengrund",bus station,950,8.7225705,47.2450026,stafawiesengrund
"Stäfa, Wässerwies",bus station,950,8.7277318,47.2431998,stafawasserwies|wasserwies
Sulzbach,bus station,845,8.74508,47.328167,
"Tagelswangen, Buckstrasse",bus station,650,8.6730071,47.4337293,buckstr|buckstrasse|tagelswangen buckstr|tagelswangenbuckstrasse
"Tagelswangen, Dorf",bus station,650,8.6719362,47.4304215,tagelswangendorf
"Tagelswangen, Gerenhalde",bus station,650,8.6679824,47.4314171,gerenhalde|tagelswangengerenhalde
"Tagelswangen, Herdlen",bus station,650,8.6732731,47.4343381,herdlen|tagelswangenherdlen
"Tagelswangen, Oberwis",bus station,650|658|659|N70,8.6780722,47.4314893,oberwis|tagelswangenoberwis
"Tann, Blatt",bus station,870|879|N88,8.8555639,47.2735624,blatt|tannblatt
"Tann, Härtiplatz",bus station,870|878,8.8515635,47.2607472,hartiplatz|hartiplz|tann hartiplz|tannhartiplatz
"Tann, Nauen",bus station,870|878|879|N88,8.8525256,47.270631,nauen|tannnauen
"Tann, Sonnenberg",bus station,870|878|879,8.8526125,47.2664288,tannsonnenberg
Tann-Dürnten,train station,S26,8.8526628,47.2683264,tanndurnten
"Teufen ZH, Oberteufen",bus station,522|N52,8.5690902,47.5493682,oberteufen|teufenzhoberteufen
"Teufen ZH, Schloss",bus station,522|N52,8.5714161,47.5438048,teufenzhschloss
"Teufen ZH, Schulhaus",bus station,522|N52,8.5677924,47.5470693,teufenzhschulhaus
"Teufen ZH, Unterteufen",bus station,522|N52,8.5666864,47.5512895,teufenzhunterteufen|unterteufen
Thalheim an der Thur,bus station,612|N61,8.7545048,47.5782638,thalheimanderthur
Thalheim-Altikon,train station,S29,8.7575179,47.5695225,thalheimaltikon
"Thalheim-Altikon, Bahnhof",bus station,612|EV1|EV 1|N61,8.7578965,47.569779,thalheimaltikonbahnhof
Thalwil,train station,EC|EXT|IC2|IR|IR35|IR46|IR70|IR75|N7|RE|RE35|S|S2|S8|S23|S24|SN8,8.5643454,47.2959882,
Thalwil (See),station,3730|3731|3732,8.5680503,47.2967346,thalwilsee
"Thalwil, Aegertli",bus station,156,8.5596881,47.2964743,aegertli|thalwilaegertli
"Thalwil, Alterszentrum",bus station,142,8.5698235,47.2855719,thalwilalterszentrum
"Thalwil, Archstrasse",bus station,156,8.5617292,47.2960767,archstr|archstrasse|thalwil archstr|thalwilarchstrasse
"Thalwil, Aubrigstrasse",bus station,142|145,8.5698106,47.2880817,thalwil aubrigstr|thalwilaubrigstrasse
"Thalwil, Bahnhof",bus station,240|EV1|EV2,8.5651239,47.2959086,thalwilbahnhof
"Thalwil, Böni",bus station,140|142,8.5652872,47.2848517,boni|thalwilboni
"Thalwil, Ebnet",bus station,140|240,8.5571911,47.2883668,thalwilebnet
"Thalwil, Feldstrasse",bus station,140|240|N16,8.5596783,47.2903396,thalwil feldstr|thalwilfeldstrasse
"Thalwil, Gewerbestrasse",bus station,140|142,8.5654184,47.2866855,gewerbestr|gewerbestrasse|thalwil gewerbestr|thalwilgewerbestrasse
"Thalwil, In Reben",bus station,142,8.5679356,47.2919412,in reben|inreben|thalwilinreben
"Thalwil, Mettli",bus station,145,8.5730037,47.2821854,mettli|thalwilmettli
"Thalwil, Mühlebachplatz",bus station,140|240|N16,8.5648938,47.2912693,muhlebachplatz|muhlebachplz|thalwil muhlebachplz|thalwilmuhlebachplatz
"Thalwil, Oberdorf",station,,8.5661419,47.2890172,thalwiloberdorf
"Thalwil, Oeggisbüelplatz",bus station,145,8.5715926,47.2848349,oeggisbuelplatz|oeggisbuelplz|thalwil oeggisbuelplz|thalwiloeggisbuelplatz
"Thalwil, Pilgerweg",bus station,156,8.56052,47.2976806,thalwilpilgerweg
"Thalwil, Platte",bus station,142|145,8.5683702,47.2899849,thalwilplatte
"Thalwil, Post",station,,8.5626571,47.2968143,thalwilpost
"Thalwil, Rainstrasse",bus station,142,8.5717167,47.2869476,thalwil rainstr|thalwilrainstrasse
"Thalwil, Rudishaldenstrasse",bus station,156,8.5592655,47.2933481,rudishaldenstr|rudishaldenstrasse|thalwil rudishaldenstr|thalwilrudishaldenstrasse
"Thalwil, Schwandelstrasse",bus station,156,8.5633104,47.294559,schwandelstr|schwandelstrasse|thalwil schwandelstr|thalwilschwandelstrasse
"Thalwil, Schützenhaus",bus station,140|240|N16,8.5622144,47.2877152,thalwilschutzenhaus
"Thalwil, Seehaldenstrasse",bus station,156|N16,8.5540031,47.2977708,seehaldenstr|seehaldenstrasse|thalwil seehaldenstr|thalwilseehaldenstrasse
"Thalwil, Sonnenberg",bus station,156|N16,8.5561829,47.2938907,thalwilsonnenberg
"Thalwil, Trotte",bus station,142|145,8.5660292,47.2911952,thalwiltrotte
"Thalwil, Zehntenstrasse",bus station,142,8.5705234,47.2899008,thalwil zehntenstr|thalwilzehntenstrasse|zehntenstr|zehntenstrasse
"Thalwil, Zentrum",bus station,140|142|145|156|240|N16,8.5644683,47.2949166,thalwilzentrum
"Theilingen, Post",bus station,826|832|N62,8.7679257,47.4219725,theilingenpost
"Theilingen, Schwemmrüti",bus station,826|832,8.763075,47.4161272,schwemmruti|theilingenschwemmruti
"Tiengen, Abzw. Breitenfeld",bus station,7345,8.3156,47.6481,abzw breitenfeld|abzwbreitenfeld|tiengenabzwbreitenfeld
Trasadingen,train station,S64,8.4374,47.6656,
"Trasadingen, Dorf",bus station,N77,8.4319,47.6682,trasadingendorf
"Trasadingen, Langwis",bus station,N77,8.4346,47.6658,trasadingenlangwis
Truttikon,bus station,621|N65,8.7273277,47.6289487,
"Trüllikon, Dorf",bus station,621|630|N69,8.6939821,47.6378951,trullikondorf
"Trüllikon, Kindergarten",bus station,621|630|N69,8.6851579,47.6378553,trullikonkindergarten
"Tuggen, Gallusplatz",bus station,521|N22,8.9413,47.203,gallusplatz|gallusplz|tuggen gallusplz|tuggengallusplatz
"Tuggen, Linthhof",bus station,520|521,8.9452,47.2034,linthhof|tuggenlinthhof
"Tuggen, Rüschenzopf",bus station,520|521,8.949,47.204,ruschenzopf|tuggenruschenzopf
"Tuggen, Schlüsselweg",bus station,520|N22,8.9414,47.2014,schlusselweg|tuggenschlusselweg
